source_file,policy,pressure,workload,scan_id,offset_after_scan,request_id,ok,prompt_tokens,cached_tokens,hit_rate,ttft_ms,latency_ms
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,12,w4-hot-000155,True,267,3,0.011235955056179775,721.2406806647778,721.2406806647778
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,13,w4-hot-000156,True,300,3,0.01,722.9440994560719,722.9440994560719
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,14,w4-hot-000157,True,333,3,0.009009009009009009,722.1096083521843,722.1096083521843
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,15,w4-hot-000158,True,366,3,0.00819672131147541,724.6457748115063,724.6457748115063
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,16,w4-hot-000159,True,400,3,0.0075,737.996019423008,737.996019423008
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,17,w4-hot-000160,True,195,170,0.8717948717948718,644.2633159458637,644.2633159458637
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,18,w4-hot-000161,True,227,202,0.8898678414096917,642.9336555302143,642.9336555302143
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,19,w4-hot-000162,True,259,234,0.9034749034749034,644.3469151854515,644.3469151854515
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,20,w4-hot-000163,True,291,266,0.9140893470790378,644.5160321891308,644.5160321891308
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,21,w4-hot-000164,True,323,298,0.9226006191950464,643.3271542191505,643.3271542191505
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,22,w4-hot-000165,True,355,330,0.9295774647887324,644.9493542313576,644.9493542313576
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,23,w4-hot-000166,True,388,363,0.9355670103092784,643.1908831000328,643.1908831000328
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,24,w4-hot-000167,True,421,396,0.9406175771971497,644.7705365717411,644.7705365717411
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,25,w4-hot-000168,True,454,429,0.9449339207048458,644.5449516177177,644.5449516177177
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,26,w4-hot-000169,True,195,170,0.8717948717948718,643.4916444122791,643.4916444122791
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,27,w4-hot-000170,True,234,208,0.8888888888888888,644.1012695431709,644.1012695431709
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,28,w4-hot-000171,True,267,241,0.9026217228464419,642.529308795929,642.529308795929
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,29,w4-hot-000172,True,300,274,0.9133333333333333,645.1592966914177,645.1592966914177
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,30,w4-hot-000173,True,333,307,0.9219219219219219,644.1398337483406,644.1398337483406
